Field=#~Integer~#~50|Field=Designator~String~Designator~294|Field=Footprint~String~Footprint~57|Field=Quantity~Integer~Quantity~24|Field=Description~String~Description~102|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~61|Field=Model~String~Model~44|Field=Package / Case~String~Package / Case~63|Field=Ratings~String~Ratings~66|Field=Value~String~Value~57|Field=Tolerance~String~Tolerance~89|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Learning stand.PrjPcb|ReportField=ProjectFullPath~D:\LS\Learning stand\Learning stand.PrjPcb|ReportField=Title~Bill of Materials For Variant [NotFitContrast] of Project [Learning stand.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~279|ReportField=ReportTime~15:14:03|ReportField=ReportDate~25.04.2020|ReportField=ReportDateTime~25.04.2020 15:14:03|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~NotFitContrast|ReportField=Address1~Address1|ReportField=Address2~Address2|ReportField=Address3~Address3|ReportField=Address4~Address4|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Самарин И. Д.|ReportField=CheckedBy~Смирнов А. Н.|ReportField=CompanyName~МЭИ ЭР-02м-18|ReportField=ConfigurationParameters~|ReportField=CurrentDate~25.04.2020|ReportField=CurrentTime~11:50:30|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\LS\Learning stand\Communication.SchDoc|ReportField=DocumentName~Communication.SchDoc|ReportField=DocumentNumber~АБВГ.123456.001 Э3|ReportField=DocumentType~Схема электрическая принципиальная|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=EngineerName~|ReportField=FirstReferrence~АБВГ.123456.001|ReportField=ImagePath~|ReportField=Letter1Column~|ReportField=Letter2Column~|ReportField=Letter3Column~|ReportField=Mass~|ReportField=ModifiedDate~24.04.2020|ReportField=NormInspection~|ReportField=Organization~|ReportField=ProcessInspection~|ReportField=ProjectName~Learning stand.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=Scale~1:1|ReportField=SheetNumber~3|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Плата отладочная для выполнения лабораторных работ|ReportField=Title2str~по курсу "Информационная электроника"|ReportField=DataSourceFileName~Learning stand.PrjPcb|ReportField=DataSourceFullPath~D:\LS\Learning stand\Learning stand.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
23|C21|CAPC1608X90N|1|Capacitor SMD Cer 10nF 10% 50V X7R 0603|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%2520Corporation%26mpn%3DC1608X7R1H103K%26seller%3DDigi-Key%26sku%3D445-1311-1-ND%26country%3DRU%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1608X7R1H103K{URL.TIP}Manufacturer||0603 (1608 metric)|50V; X7R|10n|±10%
24|C22|CAPC1608X90N|1|Capacitor SMD Cer 100nF 10% 50V X7R 0603|{URL}{URL.TEXT}C1608X7R1H104K{URL.TIP}Manufacturer||0603 (1608 Metric)|50V; X7R|100n|±10%
25|C23|CAPC1608X90N|1|Capacitor SMD Cer 10uF 10% 10V X5R 0603|{URL}{URL.TEXT}C1608X5R1A106K080AC{URL.TIP}Manufacturer||0603 (1608 Metric)|10V; X5R|10µ|±10%
26|C24|CAPC1608X90N|1|Capacitor SMD Cer 4.7uF 10% 16V X5R 0805|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%2520Co.%26mpn%3DC1608X5R1E475K080AC%26seller%3DDigi-Key%26sku%3D587-1294-1-ND%26country%3DRU%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1608X5R1E475K080AC{URL.TIP}Manufacturer||0603 (1608 Metric)|25V; X5R|4µ7|±10%
27|C25|CAPC1608X90N|1|Capacitor SMD Cer 100nF 10% 50V X7R 0603|{URL}{URL.TEXT}C1608X7R1H104K{URL.TIP}Manufacturer||0603 (1608 Metric)|50V; X7R|100n|±10%
28|C26|CAPMP3216X180N|1|Capacitor SMD Tantalum 22uF 10% 6.3V 3216-18|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKemet%26mpn%3DT491A226K006AT%26seller%3DDigi-Key%26sku%3D399-8279-1-ND%26country%3DRU%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}T491A226K006AT{URL.TIP}Manufacturer||EIA 535BAAC size A|6.3V|22µ|±10%
29|C27|CAPC1608X90N|1|Capacitor SMD Cer 100nF 10% 50V X7R 0603|{URL}{URL.TEXT}C1608X7R1H104K{URL.TIP}Manufacturer||0603 (1608 Metric)|50V; X7R|100n|±10%
30|C28|CAPC1608X90N|1|Capacitor SMD Cer 560pF 5% 50V NP0 0603|{URL}{URL.TEXT}C0603C561K8RACTU{URL.TIP}Manufacturer||0603 (1608 metric)|10V|560p|±5%
31|C29|CAPC1608X90N|1|Capacitor SMD Cer 560pF 5% 50V NP0 0603|{URL}{URL.TEXT}C0603C561K8RACTU{URL.TIP}Manufacturer||0603 (1608 metric)|10V|560p|±5%
32|C30|CAPC1608X90N|1|Capacitor SMD Cer 100nF 10% 50V X7R 0603|{URL}{URL.TEXT}C1608X7R1H104K{URL.TIP}Manufacturer||0603 (1608 Metric)|50V; X7R|100n|±10%
